Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0161520842614312,-0.00641681156155993,0.0888782755515328,0,0,0,1.32550759355299,0.00606219444859075,-4.20802075465927E-06,-2.63249254295034E-06,0.00485351580132158,-3.34412403434482E-07,0.0108486362146556,0,0,0,0,0,0,package://car_with_arm/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://car_with_arm/meshes/base_link.STL,,底盘装配-1/2和3连接件-1;底盘装配-1/底板-1;底盘装配-1/大疆2006定子-1;底盘装配-1/电机支架-1;底盘装配-1/大疆2006定子-4;底盘装配-1/电机支架-4;底盘装配-1/电机支架-2;底盘装配-1/大疆2006定子-2;底盘装配-1/大疆2006定子-3;底盘装配-1/电机支架-3;底盘装配-1/底板第二层-1;装配_SM40BL舵机-1/云台零件4-1;底盘装配-1/底板第三层-1;底盘装配-1/第五层-货架-1;底盘装配-1/载物台支撑50mm-4;底盘装配-1/载物台支撑50mm-2;底盘装配-1/载物台支撑50mm-1;底盘装配-1/载物台支撑50mm-3;底盘装配-1/第四层-载物台-1;底盘装配-1/载物台支撑-1;底盘装配-1/载物台支撑-2;底盘装配-1/载物台支撑-3;底盘装配-1/载物台支撑-4;底盘装配-1/载物台支撑-5;底盘装配-1/深度相机及支架-1/深度相机固定-1;底盘装配-1/深度相机及支架-1/Intel_RealSense_Depth_Camera_D435-1;装配_SM40BL舵机-1/云台轴承-1;装配_SM40BL舵机-1/云台零件2-2;装配_SM40BL舵机-1/云台零件2-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_rb,-7.20753498550941E-07,1.18134584302376E-06,-0.00568065639331142,0,0,0,0.0188696490086032,5.27493893746031E-06,-1.19430645679786E-09,4.17406585550162E-11,5.27564724296904E-06,-6.79108803414919E-11,7.1941683874183E-06,0,0,0,0,0,0,package://car_with_arm/meshes/wheel_rb.STL,1,1,1,1,0,0,0,0,0,0,package://car_with_arm/meshes/wheel_rb.STL,,底盘装配-1/电机法兰-4;底盘装配-1/大疆2006转子-4;底盘装配-1/3英寸脉轮-5/3英寸麦轮-轮毂-1,link_wh_rb,joint_wh_rb,wheel_rb,continuous,-0.100999999999999,-0.1009,0.0379999999999998,1.5707963267949,0,0,base_link,0,0,-1,,,,,,,,,,,,
rb_00,6.05597294534022E-10,8.65782952275129E-10,-5.42608853681958E-09,0,0,0,0.0041469857936387,4.31911036520188E-07,-3.74005425861556E-16,5.85993651972645E-16,4.31911036247106E-07,8.37757099375086E-16,1.54383527947324E-07,0,0,0,0,0,0,package://car_with_arm/meshes/rb_00.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_with_arm/meshes/rb_00.STL,,底盘装配-1/3英寸脉轮-5/3英寸麦轮-子轮-6,rb_link0,joint_wh_rb_00,rb_00_j,continuous,-0.0137149795668797,0.0266814417804372,-0.00120000000001561,0.329177890435406,-0.726917396216278,0,wheel_rb,0,0,-1,,,,,,,,,,,,
rb_01,1.26551985557555E-09,-5.82859052689066E-10,3.63059730890125E-09,0,0,0,0.00414698579363852,4.31911042027881E-07,5.26159515893842E-16,-8.19326655059567E-16,4.31911042927961E-07,3.77356321288119E-16,1.54383528535765E-07,0,0,0,0,0,0,package://car_with_arm/meshes/rb_01.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_with_arm/meshes/rb_01.STL,,底盘装配-1/3英寸脉轮-5/3英寸麦轮-子轮-2,rb_link01,joint_wh_rb_01,rb_01_j,continuous,0.0266814417803708,0.0137149795668875,-0.00120000000001561,-0.680121653521803,-0.428797157807836,0,wheel_rb,0,0,-1,,,,,,,,,,,,
rb_02,3.36393385369504E-10,3.81917549668875E-10,1.10951853399266E-08,0,0,0,0.00414698579363839,4.31911002684305E-07,-9.16435650578766E-17,-6.65575275955719E-16,4.31911002660979E-07,-7.55647293802695E-16,1.54383527335783E-07,0,0,0,0,0,0,package://car_with_arm/meshes/rb_02.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_with_arm/meshes/rb_02.STL,,底盘装配-1/3英寸脉轮-5/3英寸麦轮-子轮-4,rb_link02,joint_wh_rb_02,rb_02_j,continuous,0.00916867335917237,0.0285645834703517,-0.00120000000001561,-0.217826200301219,-0.760893093756958,0,wheel_rb,0,0,-1,,,,,,,,,,,,
rb_03,3.20078664961532E-10,3.68148733720375E-10,2.16245088502376E-09,0,0,0,0.00414698579363855,4.31911044915657E-07,-8.4055281433556E-17,-1.23426074271095E-16,4.31911044892058E-07,-1.4196309915418E-16,1.5438352732078E-07,0,0,0,0,0,0,package://car_with_arm/meshes/rb_03.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_with_arm/meshes/rb_03.STL,,底盘装配-1/3英寸脉轮-5/3英寸麦轮-子轮-1,rb_link03,joint_wh_rb_03,rb_03_j,continuous,0.0285645834702853,-0.00916867335916455,-0.00120000000001563,-0.738627446399533,0.296606985848782,0,wheel_rb,0,0,-1,,,,,,,,,,,,
rb_04,-6.77912587176976E-11,5.38134294070236E-11,4.14734466214206E-09,0,0,0,0.00414698579363851,4.319110403541E-07,2.60223741519792E-18,5.01365948320313E-17,4.31911040355313E-07,-3.97990143144907E-17,1.54383527156363E-07,0,0,0,0,0,0,package://car_with_arm/meshes/rb_04.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_with_arm/meshes/rb_04.STL,,底盘装配-1/3英寸脉轮-5/3英寸麦轮-子轮-14,rb_link04,joint_wh_rb_04,rb_04_j,continuous,0.0137149795668211,-0.0266814417803629,-0.00120000000001561,-0.329177890435407,0.726917396216279,0,wheel_rb,0,0,-1,,,,,,,,,,,,
rb_05,-4.76031214446948E-10,6.54532081312276E-10,6.5932423409798E-10,0,0,0,0.00414698579363858,4.31911046637331E-07,2.2225484445824E-16,5.5964108717247E-17,4.31911046493378E-07,-7.69498115522541E-17,1.54383527618259E-07,0,0,0,0,0,0,package://car_with_arm/meshes/rb_05.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_with_arm/meshes/rb_05.STL,,底盘装配-1/3英寸脉轮-5/3英寸麦轮-子轮-12,rb_link05,joint_wh_rb_05,rb_05_j,continuous,-0.00916867335923097,-0.0285645834702775,-0.00120000000001561,0.217826200301218,0.760893093756959,0,wheel_rb,0,0,-1,,,,,,,,,,,,
rb_06,-6.41578665194764E-10,-5.36337918521923E-11,-9.81946468581185E-09,0,0,0,0.0041469857936388,4.31911012098106E-07,-2.45455589735515E-17,-1.12346034633701E-15,4.31911012389674E-07,-9.3917338977997E-17,1.54383527446697E-07,0,0,0,0,0,0,package://car_with_arm/meshes/rb_06.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_with_arm/meshes/rb_06.STL,,底盘装配-1/3英寸脉轮-5/3英寸麦轮-子轮-10,rb_link06,joint_wh_rb_06,rb_06_j,continuous,-0.0266814417804292,-0.0137149795668133,-0.00120000000001569,0.680121653521803,0.428797157807841,0,wheel_rb,0,0,-1,,,,,,,,,,,,
rb_07,1.11982617623241E-10,-3.64902080773888E-10,-1.11318365497715E-08,0,0,0,0.00414698579363881,4.31911002384134E-07,2.91482168949232E-17,2.2229871811793E-16,4.31911002298098E-07,-7.2437380175994E-16,1.54383527254952E-07,0,0,0,0,0,0,package://car_with_arm/meshes/rb_07.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car_with_arm/meshes/rb_07.STL,,底盘装配-1/3英寸脉轮-5/3英寸麦轮-子轮-8,rb_link07,joint_wh_rb_07,rb_07_j,continuous,-0.0285645834703439,0.00916867335923878,-0.00120000000001561,0.738627446399533,-0.296606985848781,0,wheel_rb,0,0,-1,,,,,,,,,,,,
